title,price,image
  Amazon Basics 2-Ply Paper Towels. Flex-Sheets. 150 Sheets per Roll. 12 Rolls (2 Packs of 6). White,$22.86 , https://m.media-amazon.com/images/I/61POocZniqL._AC_UL320_.jpg
        Amazon Basics Glass Food Storage Container with BPA-Free Locking Lid - Set of 14 pieces. clear with blue silicone ring,$40.35 , https://m.media-amazon.com/images/I/81zTSQb7j9L._AC_UL320_.jpg
        Amazon Basics Extra Durable Cleaning Eraser. White. 14 Count,$12.98 , https://m.media-amazon.com/images/I/81kiICplMnL._AC_UL320_.jpg
        Amazon Basics HydroClean Cordless Water Flosser. 1 Handle. 2 Flosser Tips. 2 AA batteries included,$30.32 , https://m.media-amazon.com/images/I/61UwFTGajvL._AC_UL320_.jpg
        Amazon Basics 12-Pack AA Alkaline Batteries. 1.5 Volt. Long Lasting Power,$7.99 , https://m.media-amazon.com/images/I/61BX+R1fSFL._AC_UL320_.jpg
"        Amazon Basics Silicone. Non-Stick. Food Safe Baking Mat. Pack of 2. New Beige/Gray. Rectangular. 16.5"" x 11.6""",$13.96 , https://m.media-amazon.com/images/I/81IC5+bWDgL._AC_UL320_.jpg
        Amazon Basics 2-Ply Toilet Paper. 30 Rolls (5 Packs of 6). White,$25.21 , https://m.media-amazon.com/images/I/611BMkwsBsL._AC_UL320_.jpg
        Amazon Essentials Women's Classic-Fit Long-Sleeve Crewneck T-Shirt (Available in Plus Size),$17.10 , https://m.media-amazon.com/images/I/71qRsBenkkL._AC_UL320_.jpg
        Amazon Basics Micro SDXC Memory Card with Full Size Adapter. A2. U3. Read Speed up to 100 MB/s. 128 GB. Black,$12.42 , https://m.media-amazon.com/images/I/61DwejyTGkL._AC_UL320_.jpg
"        Amazon Basics Multipurpose Copy Printer Paper. 8.5"" x 11"". 20lb. 8 Ream. 4000 Sheets. 92 Bright. White",$39.99 , https://m.media-amazon.com/images/I/71yKhJpWLnS._AC_UL320_.jpg
        Amazon Basics Dental Flossers. Mint Flavor. 540 Count. 6 Packs of 90. Fold-Away Pick. Helps Remove Plaque (Previously Solimo),$18.97 , https://m.media-amazon.com/images/I/61sV4bfnJsL._AC_UL320_.jpg
        Amazon Basics Vacuum Compression Storage Bags With Hand Pump. 15-Pack. Multiple. White,$28.08 , https://m.media-amazon.com/images/I/91MSg-pX9GL._AC_UL320_.jpg
        Amazon Basics 5-Blade MotionSphere Razor for Men with Dual Lubrication and Precision Trimmer. Handle & 16 Cartridges. Cartridges fit Amazon Basics Razor Handles only. 17 Piece Set. Black,$22.79 , https://m.media-amazon.com/images/I/81iq2d4qY7L._AC_UL320_.jpg
"        Amazon Basics Multipurpose Copy Printer Paper. 8.5"" x 11"". 24lb. 3 Ream (1.500 Sheets). 97 Bright",$26.99 , https://m.media-amazon.com/images/I/71pAEs489UL._AC_UL320_.jpg
        Amazon Basics Flextra Tall Kitchen Drawstring Trash Bags. 13 Gallon. Unscented. 50 Count,$10.58 , https://m.media-amazon.com/images/I/61VZ8DdVUFL._AC_UL320_.jpg
        Amazon Basics 9-Inch Thermal Laminator Machine. White,$30.14 , https://m.media-amazon.com/images/I/61GsTJr04eL._AC_UL320_.jpg
        Amazon Basics 128GB Ultra Fast USB 3.1 Flash Drive. Black,$11.99 , https://m.media-amazon.com/images/I/71RhxfozxvL._AC_UL320_.jpg
        Amazon Basics Everyday Paper Plates. 8 5/8 Inch. Disposable. 200 Count,$16.15 , https://m.media-amazon.com/images/I/71CyDBWhQ-L._AC_UL320_.jpg
        Amazon Basics Sandwich Storage Bags. 300 Count (Previously Solimo),$8.42 , https://m.media-amazon.com/images/I/71zPvNJ906L._AC_UL320_.jpg
        Amazon Essentials Women's Classic-Fit Full-Zip Polar Soft Fleece Jacket (Available in Plus Size),$23.92 , https://m.media-amazon.com/images/I/81TW1gyWBJL._MCnd_AC_UL320_.jpg
        Amazon Basics 48 Count AA & AAA High-Performance Batteries Value Pack - 24 Double AA Batteries and 24 Triple AAA Batteries (48 Count),$17.10 , https://m.media-amazon.com/images/I/81TF4h0gxhL._AC_UL320_.jpg
        Amazon Basics Aluminum Foil. 250 Sq Ft. pack of 1 (Previously Solimo),$13.48 , https://m.media-amazon.com/images/I/61TFUqoib4L._AC_UL320_.jpg
        Amazon Basics 20-Pack AAA Alkaline High-Performance Batteries. 1.5 Volt. 10-Year Shelf Life,$12.54 , https://m.media-amazon.com/images/I/71a+E3+Bc2L._AC_UL320_.jpg
